Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4- 2-2019  9:25AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  SUM4B.ngd
output file: SUM4B_pad.csv
Part type:   xc95288
Speed grade: -10
Package:     hq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P136,TIE,,I/O,,,,,,,,,,
P137,TIE,,I/O,,,,,,,,,,
P138,TIE,,I/O,,,,,,,,,,
P139,TIE,,I/O,,,,,,,,,,
P140,TIE,,I/O,,,,,,,,,,
P141,GND,,GND,,,,,,,,,,
P142,TIE,,I/O,,,,,,,,,,
P143,TIE,,I/O,,,,,,,,,,
P144,TIE,,I/O,,,,,,,,,,
P145,TIE,,I/O,,,,,,,,,,
P146,TIE,,I/O,,,,,,,,,,
P147,TIE,,I/O,,,,,,,,,,
P148,TIE,,I/O,,,,,,,,,,
P149,TIE,,I/O,,,,,,,,,,
P150,TIE,,I/O,,,,,,,,,,
P151,TIE,,I/O,,,,,,,,,,
P152,CIN,I,I/O,INPUT,,,,,,,,,
P153,VCC,,VCCINT,,,,,,,,,,
P154,TIE,,I/O,,,,,,,,,,
P155,TIE,,I/O,,,,,,,,,,
P156,GND,,GND,,,,,,,,,,
P157,VCC,,VCCIO,,,,,,,,,,
P158,Y<2>,O,I/O,OUTPUT,,,,,,,,,
P159,TIE,,I/O,,,,,,,,,,
P160,TIE,,I/O,,,,,,,,,,
P161,TIE,,I/O,,,,,,,,,,
P162,TIE,,I/O,,,,,,,,,,
P163,GND,,GND,,,,,,,,,,
P164,TIE,,I/O,,,,,,,,,,
P165,TIE,,I/O,,,,,,,,,,
P166,TIE,,I/O,,,,,,,,,,
P167,TIE,,I/O,,,,,,,,,,
P168,TIE,,I/O,,,,,,,,,,
P169,TIE,,I/O,,,,,,,,,,
P170,Y<3>,O,I/O,OUTPUT,,,,,,,,,
P171,TIE,,I/O,,,,,,,,,,
P172,VCC,,VCCIO,,,,,,,,,,
P173,TIE,,I/O,,,,,,,,,,
P174,TIE,,I/O,,,,,,,,,,
P175,TIE,,I/O,,,,,,,,,,
P176,TDO,,TDO,,,,,,,,,,
P177,GND,,GND,,,,,,,,,,
P178,TIE,,I/O,,,,,,,,,,
P179,TIE,,I/O,,,,,,,,,,
P180,TIE,,I/O,,,,,,,,,,
P181,VCC,,VCCIO,,,,,,,,,,
P182,TIE,,I/O,,,,,,,,,,
P183,TIE,,I/O,,,,,,,,,,
P184,VCC,,VCCIO,,,,,,,,,,
P185,TIE,,I/O,,,,,,,,,,
P186,TIE,,I/O,,,,,,,,,,
P187,TIE,,I/O,,,,,,,,,,
P188,TIE,,I/O,,,,,,,,,,
P189,TIE,,I/O,,,,,,,,,,
P190,GND,,GND,,,,,,,,,,
P191,TIE,,I/O,,,,,,,,,,
P192,TIE,,I/O,,,,,,,,,,
P193,TIE,,I/O,,,,,,,,,,
P194,TIE,,I/O,,,,,,,,,,
P195,TIE,,I/O,,,,,,,,,,
P196,TIE,,I/O,,,,,,,,,,
P197,TIE,,I/O,,,,,,,,,,
P198,B<2>,I,I/O,INPUT,,,,,,,,,
P199,TIE,,I/O,,,,,,,,,,
P200,TIE,,I/O,,,,,,,,,,
P201,TIE,,I/O,,,,,,,,,,
P202,B<1>,I,I/O,INPUT,,,,,,,,,
P203,TIE,,I/O,,,,,,,,,,
P204,VCC,,VCCINT,,,,,,,,,,
P205,TIE,,I/O,,,,,,,,,,
P206,TIE,,I/O/GSR,,,,,,,,,,
P207,GND,,GND,,,,,,,,,,
P208,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


